,Unnamed: 0,key,prep,dobj,d.lemma,d.pos,d.animacy,d.number,d.r,d.t,d.pt,d.top,d.d,v.lemma,v.pos,v.aspect,v.mood,v.r,v.ca,v.aux,v_d,s.lemma,s.pos,s.animacy,s.number,s.r,s.t,s.pt,s.top,s.d,role
0,0,1021_1,False,False,Васька,S,anim,sg,r:propn,t:persn,,,d:dimb,волноваться,V,ipf,inf,t:move,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,экспериенцер
1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,экспериенцер
2,2,29231_0,False,True,кулиса,S,inan,sg,,,,,,вывести,V,pf,indic,,,,,режиссер,S,anim,sg,,,,,,направление
3,3,36593_2,False,True,публика,S,inan,sg,r:concr,,pt:aggr,,,предлагаться,V,ipf,indic,,,,d:pref,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,экспериенцер
4,4,42237_7,False,True,комиссар,S,m,norm,r:concr,t:hum,,,,аплодировать,V,act,sg,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
5,5,42245_2,False,False,ты,SPRO,none,norm,r:pers,,,,,аплодировать,V,3p,praes,t:sound,ca:noncaus,,,они,SPRO,none,norm,r:pers,,,,,реципиент
6,6,36570_0,False,False,она,SPRO,none,3p,r:pers,,,,,аплодировать,V,ipf,indic,t:sound,ca:noncaus,,,все,SPRO,none,pl,,,,,,реципиент
7,7,36572_0,False,False,он,SPRO,none,3p,r:pers,,,,,аплодировать,V,ipf,indic,t:sound,ca:noncaus,,,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,no_subject,,реципиент
8,8,36579_2,False,False,он,SPRO,none,3p,r:pers,,,,,начинать,V,tran,indic,,,aux:phase,d:pref,дело,S,inan,sg,r:abstr,,,,,реципиент
9,9,36583_0,False,True,человек,S,anim,sg,r:concr,t:hum,,,,аплодировать,V,ipf,indic,t:sound,ca:noncaus,,,зритель,S,anim,pl,r:concr,t:hum,,,d:nag,реципиент
10,10,36584_2,False,True,Монако,S,0,sg,r:propn,t:topon,,,,аплодировать,V,ipf,indic,t:sound,ca:noncaus,,,дель,PART,none,none,,,,,,реципиент
